Age group 11,2008-2010,2013-2015,,,
0 year,81.1,81.9,,,
1 year,80.5,81.3,,,
2 years,79.5,80.3,,,
3 years,78.5,79.3,,,
4 years,77.6,78.4,,,
5 years,76.6,77.4,,,
6 years,75.6,76.4,,,
7 years,74.6,75.4,,,
8 years,73.6,74.4,,,
9 years,72.6,73.4,,,
10 years,71.6,72.4,,,
11 years,70.6,71.4,,,
12 years,69.6,70.4,,,
13 years,68.6,69.4,,,
14 years,67.6,68.4,,,
15 years,66.6,67.4,,,
16 years,65.6,66.5,,,
17 years,64.7,65.5,,,
18 years,63.7,64.5,,,
19 years,62.7,63.5,,,
20 years,61.8,62.5,,,
21 years,60.8,61.6,,,
22 years,59.8,60.6,,,
23 years,58.9,59.6,,,
24 years,57.9,58.7,,,
25 years,56.9,57.7,,,
26 years,55.9,56.7,,,
27 years,55,55.8,,,
28 years,54,54.8,,,
29 years,53,53.8,,,
30 years,52.1,52.9,,,
31 years,51.1,51.9,,,
32 years,50.1,50.9,,,
33 years,49.2,50,,,
34 years,48.2,49,,,
35 years,47.2,48,,,
36 years,46.3,47.1,,,
37 years,45.3,46.1,,,
38 years,44.3,45.1,,,
39 years,43.4,44.2,,,
40 years,42.4,43.2,,,
41 years,41.5,42.2,,,
42 years,40.5,41.3,,,
43 years,39.6,40.3,,,
44 years,38.6,39.4,,,
45 years,37.7,38.4,,,
46 years,36.7,37.5,,,
47 years,35.8,36.6,,,
48 years,34.9,35.6,,,
49 years,34,34.7,,,
50 years,33.1,33.8,,,
51 years,32.1,32.9,,,
52 years,31.2,32,,,
53 years,30.3,31.1,,,
54 years,29.4,30.2,,,
55 years,28.5,29.3,,,
56 years,27.7,28.4,,,
57 years,26.8,27.5,,,
58 years,25.9,26.6,,,
59 years,25.1,25.7,,,
60 years,24.2,24.9,,,
61 years,23.4,24,,,
62 years,22.5,23.2,,,
63 years,21.7,22.3,,,
64 years,20.9,21.5,,,
65 years,20.1,20.7,,,
66 years,19.3,19.9,,,
67 years,18.5,19.1,,,
68 years,17.7,18.3,,,
69 years,16.9,17.5,,,
70 years,16.2,16.8,,,
71 years,15.4,16,,,
72 years,14.7,15.3,,,
73 years,14,14.5,,,
74 years,13.3,13.8,,,
75 years,12.6,13.1,,,
76 years,12,12.5,,,
77 years,11.3,11.8,,,
78 years,10.7,11.2,,,
79 years,10.1,10.5,,,
80 years,9.5,9.9,,,
81 years,8.9,9.3,,,
82 years,8.4,8.8,,,
83 years,7.8,8.2,,,
84 years,7.3,7.7,,,
85 years,6.8,7.2,,,
86 years,6.4,6.7,,,
87 years,5.9,6.2,,,
88 years,5.5,5.8,,,
89 years,5.1,5.4,,,
90 years,4.7,5,,,
91 years,4.4,4.6,,,
92 years,4,4.2,,,
93 years,3.7,3.9,,,
94 years,3.5,3.6,,,
95 years,3.2,3.3,,,
96 years,3,3.1,,,
97 years,2.8,2.9,,,
98 years,2.6,2.7,,,
99 years,2.4,2.5,,,
100 years,2.3,2.3,,,
101 years,2.1,2.2,,,
102 years,2,2.1,,,
103 years,1.9,1.9,,,
104 years,1.8,1.8,,,
105 years,1.7,1.7,,,
106 years,1.6,1.7,,,
107 years,1.6,1.6,,,
108 years,1.5,1.5,,,
109 years,1.4,1.5,,,
110 years and over,1.4,1.4,,,
